text,label
hi,greeting
hello,greeting
hey,greeting
good morning,greeting
good evening,greeting
how are you,greeting
i am sad,sadness
i feel depressed,sadness
i feel lonely,sadness
i am crying,sadness
nothing feels good,sadness
i feel empty,sadness
i feel broken,sadness
my heart hurts,sadness
i miss someone,sadness
i feel stressed,stress
too much pressure,stress
i am overwhelmed,stress
i have exams,stress
i cannot focus,stress
i feel tired,stress
work is exhausting,stress
i feel anxious,anxiety
i am nervous,anxiety
i cannot sleep,anxiety
i keep worrying,anxiety
my anxiety is bad,anxiety
i feel scared,anxiety
i am angry,anger
i
